c_02	c_1	c_2	c_3	c_4	t_1
1620656724084351408	14771401151246747869	9242986390739700066	10094732775563391999	8386389002440712090	1510872732432
6301100326420375235	14771401151246747869	12920249660513957721	10094732775563391999	17591679367798939946	1510724183352
2576927448012729523	14771401151246747869	12328604000988955344	10094732775563391999	12178632648159032351	1510509798312
11586946637362850153	14771401151246747869	14008934380409649741	10094732775563391999	12178632648159032351	1510785252354
3649299239162889216	14771401151246747869	11924987278167669347	1380988313069126961	17679713111586431708	1511215285335
3278328974980770518	14771401151246747869	9744136885054672745	13064374487915183079	13063420908343408112	1510793623306
13686803216421434284	14771401151246747869	8845917001826604038	10094732775563391999	12503043016275546053	1510714121136
11391165146077446794	14771401151246747869	10477055804457011642	13064374487915183079	12503043016275546053	1510802616215
5592040936656226499	14771401151246747869	7503494610413199091	3644727946432331242	12178632648159032351	1510859184110
15488161090524674343	14771401151246747869	4291639838705623936	13064374487915183079	6690428115669065630	1510445059169
16173626606226084174	14771401151246747869	11555279696142998129	4333393905363336546	5909369383556397015	1510895911461
10745278477996261946	14771401151246747869	14772940603822112159	4333393905363336546	8386389002440712090	1510682552368
269247127414092438	14771401151246747869	2385208050792893181	3644727946432331242	13063420908343408112	1511156632289
8895717523745324617	14771401151246747869	4632741077359198158	1380988313069126961	3749581593251313035	1510943378254
1655903950350670438	14771401151246747869	8798888264081527132	1380988313069126961	6220455810135880725	1511147638315
6132053872929592509	14771401151246747869	3275149526362418710	11285758582461727578	3749581593251313035	1510629807461
16421497798179096826	14771401151246747869	7065761160442850381	1380988313069126961	3749581593251313035	1510872773229
10774328411696530679	14771401151246747869	17081606064194569640	10094732775563391999	12503043016275546053	1510435567316
7904463502224291091	14771401151246747869	15575515173950345783	3644727946432331242	13063420908343408112	1511217742360
12267873888354886430	14771401151246747869	15657794302611147934	13064374487915183079	12178632648159032351	1511155694249
17409850619356182254	14771401151246747869	6729303272717110386	13064374487915183079	6782250398322886105	1510888971253
16405077983409731899	14771401151246747869	12274237789959805958	13064374487915183079	8386389002440712090	1510873767294
16890556828690403483	14771401151246747869	17456450801462657601	13064374487915183079	8386389002440712090	1510773137101
6606597348679542578	14771401151246747869	8188179790034521062	13064374487915183079	6163343752015047808	1510619942240
5261265098733252000	14771401151246747869	2880602699690316655	3644727946432331242	17679713111586431708	1511217219215
5399146614856007423	14771401151246747869	17159785001230831744	1380988313069126961	13063420908343408112	1511039088138
988932145521350063	14771401151246747869	16647127438655125875	3644727946432331242	5811138887350930418	1511144984175
17728639272478297761	14771401151246747869	2404602439518673355	11285758582461727578	13063420908343408112	1510855329103
17890748766315079192	14771401151246747869	17391346331974924751	1380988313069126961	8386389002440712090	1510803674368
9093018093766179083	14771401151246747869	14962913117571142692	1380988313069126961	8386389002440712090	1510764948195
12627872962710558207	14771401151246747869	9229391875733277084	1380988313069126961	8386389002440712090	1510958183167
8209956271682533663	14771401151246747869	3948027748333377868	13064374487915183079	8386389002440712090	1510877739488
15364570235895409105	14771401151246747869	13186595638087268441	1380988313069126961	15901097786019369221	1510697761449
7355667000887534191	14771401151246747869	7531696474492076172	11285758582461727578	13063420908343408112	1510697245167
9968580952278409247	14771401151246747869	12274237789959805958	13064374487915183079	8386389002440712090	1511037617139
6714233560966771112	14771401151246747869	10456814374380029677	11285758582461727578	12503043016275546053	1511029380472
16095176485381176070	14771401151246747869	12368351836255877472	10094732775563391999	17679713111586431708	1510617578374
10925464668432986783	14771401151246747869	3266150314037718784	3644727946432331242	11824289999859544450	1511202731177
11855859271297372616	14771401151246747869	4931880419945656882	13064374487915183079	3749581593251313035	1510877569375
16720357233763209418	14771401151246747869	8838008631873071902	10094732775563391999	14738979299495365534	1510703413385
6499626014443731848	14771401151246747869	4491320641980008475	11285758582461727578	7016525554915663222	1510721654425
7948064149474937697	14771401151246747869	12017635969576229963	3644727946432331242	12503043016275546053	1511034813346
2001861861358970812	14771401151246747869	12633424847876399368	4333393905363336546	16753307855305744920	1511113200441
17876037441563770169	14771401151246747869	17406912680271651036	13064374487915183079	13063420908343408112	1510710368224
8930636622684676203	14771401151246747869	130215123001500783	13064374487915183079	6690428115669065630	1510612749288
4547813827125563734	14771401151246747869	16280106453159507472	11285758582461727578	12503043016275546053	1510787006445
16091079918657945619	14771401151246747869	1791434084975378405	4333393905363336546	3749581593251313035	1510896426374
6962654808446488796	14771401151246747869	10131147987776541084	11285758582461727578	3749581593251313035	1510614253418
12844806101664022946	14771401151246747869	1406286763262193709	10094732775563391999	8386389002440712090	1510769401449
15086350769608075653	14771401151246747869	16317905827789589581	10094732775563391999	12178632648159032351	1510722041244
8040499709285986655	14771401151246747869	6911699246580568863	1380988313069126961	13063420908343408112	1511109302356
11644192119176898593	14771401151246747869	729750069978597758	13064374487915183079	6690428115669065630	1510871959212
7994569314423776532	14771401151246747869	5257289090931596713	1380988313069126961	8386389002440712090	1510432019227
17328609321217272085	14771401151246747869	10603883331699231581	3644727946432331242	13063420908343408112	1510873830358
11733206792104720901	14771401151246747869	18126916066182329475	1380988313069126961	8386389002440712090	1510965054354
12534979067753442887	14771401151246747869	7233269574736537619	1380988313069126961	6690428115669065630	1510529151343
394850431046449728	14771401151246747869	9605277245618305762	13064374487915183079	15901097786019369221	1510784289184
