n_1	c_02	t_01
14851	15735950257919764511	1510890018432
47101	12064261874011234401	1511141744352
70801	14264604615902559352	1510890018432
34351	7227600235562194996	1510812327354
13351	1154622169189592436	1510803990335
14851	11644192119176898593	1510900771306
8821	553420361796981448	1510588987136
44851	8588645864295529538	1510813023215
149851	8945232580901907439	1511060975110
47483.5	17812279573881447938	1510643859169
23251	16589842066899770860	1510985422461
15497.5	17876037441563770169	1510739979368
46351	13567238414223208181	1510589078289
104851	535022830171180684	1510826301254
64351	3108872412584269206	1510922992315
44641	5399146614856007423	1511067920461
9856	10195649238351750031	1510818833229
16795	14193360946905347698	1511154665316
75751	17537979244673002554	1511161018360
22351	1813731286348026435	1511075455249
142447	9265901492969092619	1510594589253
23843.5	16623964725754175010	1510752684294
9826	7654047404676613632	1511240382101
14926	13754917102230638678	1510802016240
29701	15263102810234874546	1510643409215
74851	2305913939551517815	1511247815138
8236	15884053320114747023	1510795152175
131401	672202115729912014	1510588824103
29851	8755214554074284598	1510708142368
11851	15069426821549284308	1510797976195
10201	15084710976421745060	1510738382167
59401	12632013679219927281	1510816694488
14941	3953214609582777417	1510904790449
59606.5	6794926743544838055	1511069526167
39751	15255087401928781982	1510809281139
190351	14289244027657969974	1510895064472
16201	17501340864410786603	1510722793374
262396	6160919040131421393	1510629903177
32401	9667546448660135766	1511270252375
7486	5775110932047069391	1510901084385
68851	16571755594865831931	1510987670425
224701	496927603151575097	1510725971346
49349.5	7696060899510357260	1511158636441
18961	1941002442702374131	1511159988224
2.9205e+06	2557749903203483233	1510814323288
19201	5549589178041012828	1510880884445
22351	9996208825788292958	1510628067374
8978.5	10327426118177388900	1511060609418
181351	13772547992025707263	1510714083449
16441	6149271283106482632	1510977297244
23851	11131378106644475556	1510588827356
5986	1516850168714733280	1510906122212
13469.5	2856229144586909673	1510904129227
522001	1888156305330856498	1510588863358
374851	10504253465506404545	1510799287354
18751	18152646531494022578	1510740975343
32101	8351149980657280913	1510898847184
64351	17693279649174970384	1511242787217
11941	16050201819954685087	1511162866347
119701	2017343300691681028	1511224917240
121951	1279879844400601386	1510813577313
77851	7236885246954512809	1510589082415
80701	6766218117379930933	1510800344239
26776	3278328974980770518	1510824306272
40306	14428650483666480785	1510588991271
21653.5	13531285671697543541	1511079021457
43351	9341572662873554725	1510913903432
5738.5	595882248827752412	1510978635155
8491	7032194513460601744	1511154112322
20851	6302430298436750742	1510712084317
32851	16962910643640029211	1511065157229
68851	9635265740903509469	1510751441436
10141	3811065172760753157	1510730188351
149851	4128175330256583062	1510721852180
48341.5	10290265092299671278	1510633630170
55801	15384524530042017330	1511225654150
6601	13903326784587869869	1510590227313
78001	7090164306368265696	1511260459232
8851	7163772454682374389	1510994379256
13486	11803236205771353291	1510731729273
68581	3032246689695762533	1511060708165
30751	1639484135581207375	1511177391300
53851	15755561551090390203	1510891240386
131238	1880334256544776291	1510732558293
61351	9503065241132309446	1511164200168
665851	7405539010338274294	1511159290428
7628.5	16322531295841562204	1510903401324
270001	2001861861358970812	1511142149254
72923.5	3484651963276988508	1511139382155
36751	1952631669101527749	1511154689181
128701	15306330167062780239	1511167612395
35851	14914130801600622139	1511066023370
16801	13869715011287494277	1510638373284
12001	6444508845929915278	1511235181322
13201	3540664391170335578	1511176282330
7486	4144562399315703096	1510990597456
16618	15913776887969844228	1511184109468
9751	11684360304949527033	1510840101273
7669	3139256681018757403	1510892641300
10666	4172810379088052346	1511148461300
94951	15000673948700378031	1510830184278
14851	16766150319758324210	1510825286217
45751	1476308317482466828	1510987703246
68711.5	8569533519814490409	1510589459140
51301	17076414693530180600	1510754592476
67051	8040499709285986655	1511138129105
32851	13971324418093437481	1510902963369
22141	13911620285987730573	1510659445300
28201	11379298859953132205	1510588818416
38701	16810305220474808773	1510588816313
71821	4509870552809045708	1510649294474
16201	11034912343404277475	1511174355269
22351	1283202387602846227	1511269779124
19975	7989237360242109703	1511231306157
224851	11807129595708203970	1510591244250
15583	16171081700631458811	1510831213371
21653.5	2332718004661741299	1511072688487
20401	18208835188872863890	1510591632475
50329	14491377460669179437	1511156648313
28351	2524700792606207355	1511232156152
651504	17078193223669626847	1510833095344
13351	7286424933874959729	1510906663397
40564	5592040936656226499	1510888519210
44851	18413365226811222400	1511165322139
28201	8452241755883233316	1510589728229
8716	6513855253723025742	1510799844442
11851	2210449230571295547	1510914871283
49771	6828582499117034079	1511056484385
13201	12312783123639642188	1511003321403
15118	10937947231331767632	1510892427271
18751	16405077983409731899	1510902969374
17881	17887674374067468251	1511251354369
15526	1620656724084351408	1510902001389
11851	5252710264581495567	1510817857308
1.479e+06	1656940133850106681	1510732051197
59851	17108543920314299094	1511167482376
44701	12799538183230604514	1511160200101
269851	15259526083858676208	1511243980467
25493.5	13960969274786212664	1510724722364
31670.5	7635201480853809788	1510904435419
71701	1863635526799426787	1510710032469
38851	16615670052320607671	1510887400348
69826	9350451950133714450	1510734648376
1.2432e+06	14888738787014347076	1510590682103
28123	14621876408153177092	1510904361193
17551	12508758886247087968	1510833214137
30901	7780834757528177967	1511072874375
44851	3944721568484670197	1511234664190
13351	17233820578340829462	1510642661122
104851	10017304256877883727	1510628831199
192488	6472467005311006771	1510898100422
104851	8660125430052339872	1511240438368
59851	11720576673174080818	1511248885284
32399.5	787865036772258222	1511162257320
78001	3237266109779221238	1511252370195
14701	13000941539450562666	1511069853201
9241	12358617407340455798	1510796675450
98251	16620095031046142805	1510652668166
36151	13586644589053130748	1511278524488
200551	17409850619356182254	1510917815363
37201	12641388562756682068	1510589773339
524851	17454408833970155181	1510905598372
49351	5255764882107636311	1510643700421
239851	4615485184717665603	1511254269416
23401	17518272772032159917	1510588813190
98251	17553256725580767453	1511150998128
44851	16593646822202275986	1510925848302
28369	13378248924070320143	1511228447371
17177.5	9200166258581968901	1510626107106
14851	14622814783590052884	1510826624354
3736	7900715475822091092	1510744903300
72451	1274647553451081676	1510834538263
66973	12111513174549170463	1510729591390
25010.5	14808703414951435020	1510973395186
7351	10105071315993647362	1511243462267
60529	15694739836686427721	1510986370485
88201	13361829109300865093	1511229881402
16351	6132053872929592509	1510658792330
10351	12977006810546395515	1510816281185
28351	13964836076694089963	1511254617426
130351	3827415096829829825	1510902903217
299851	11810216220095287219	1511001949295
17971	9968580952278409247	1511066648482
22201	3840588333556105079	1510595286402
38851	9636120668805920322	1510879432126
14851	9759209207606265997	1510818458365
19141	8908444661221238930	1510705294114
63001	9840334811115314802	1511059886477
42706	5326915105760147579	1511233556432
44251	12907201685091188735	1511058474112
67351	7769789127227986976	1510815230138
75601	316686493504830514	1510648759281
45886	6389487729297205217	1510628038172
14701	10492092092203459620	1510902261460
9751	9764518890447247564	1510801978386
194851	7489553144715690082	1511171113441
17978.5	2777215016897582832	1510837948489
82127.5	16332846474313841592	1511140465198
14926	14713238705971227051	1510886701322
51751	1297924701653914956	1510791896283
11251	3789969741671164312	1510728714454
12751	8707780044487591012	1511168528310
17941	1065756145712811846	1510726557447
40201	13718297444993866163	1510837352354
8851	9197787607159860905	1510590247185
50746	17208892663009724128	1510705500402
